,,,,,,,_,,,_,,_,_,_,,,_,_,,,,,_,_,,,,_,_,,_,_,_,_,job_insertdate
6766700372,YUMMY BITES MEAL STEP 1 STEP 2 STEP 3 145gr JAR BOTOL KACA,"[{'title': 'Power Merchant Pro Badge', 'imageUrl': 'https://images.tokopedia.net/img/goldmerchant/pm_activation/badge/PM%20Pro%20Small.png', 'show': True, '__typename': 'AceSearchUnifyBadge'}]",395,ibu-bayi/susu-bayi-anak/sereal-bubur-bayi,56,Ibu & Bayi,1156,,2,/category/ibu-bayi/susu-bayi-anak/mybaby-tools/yummy-bites-meal-step-1-step-2-step-3-145gr-jar-botol-kaca-tunamixvege,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/10/17/31571f29-df16-451e-b24d-08ddda7df155.jpg,"[{'position': 'integrity', 'title': '10rb+ terjual', 'type': 'textDarkGrey', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}]",Rp41.900,Rp41.200,,5,5.0,https://www.tokopedia.com/mybaby-tools/yummy-bites-meal-step-1-step-2-step-3-145gr-jar-botol-kaca-tunamixvege?extParam=ivf%3Dfalse,False,0,6511561,AceSearchUnifyProduct,,,,,AceSearchUnifyAds,6253929,MyBabyTools,https://www.tokopedia.com/mybaby-tools,Jakarta Selatan,False,True,AceSearchUnifyShop,2023-12-17 21:25:04
708629589,YUMMY BITES BEBEROLL BABY SNACK 40 GR,"[{'title': 'Power Merchant Pro Badge', 'imageUrl': 'https://images.tokopedia.net/img/goldmerchant/pm_activation/badge/PM%20Pro%20Small.png', 'show': True, '__typename': 'AceSearchUnifyBadge'}]",2011,ibu-bayi/susu-bayi-anak/biskuit-snack-bayi,56,Ibu & Bayi,1599,,2,/category/ibu-bayi/susu-bayi-anak/mybaby-tools/yummy-bites-beberoll-baby-snack-40-gr-orange,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/22/4fe0e6ce-012f-4f49-a3fd-14f78bbffb6d.jpg,"[{'position': 'integrity', 'title': '10rb+ terjual', 'type': 'textDarkGrey', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'costperunit', 'title': 'Rp81.750/100 g', 'type': 'textDarkGrey', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}]",Rp33.500,Rp32.700,,5,5.0,https://www.tokopedia.com/mybaby-tools/yummy-bites-beberoll-baby-snack-40-gr-orange?extParam=ivf%3Dfalse,False,0,6511561,AceSearchUnifyProduct,,,,,AceSearchUnifyAds,6253929,MyBabyTools,https://www.tokopedia.com/mybaby-tools,Jakarta Selatan,False,True,AceSearchUnifyShop,2023-12-17 21:25:04
683765036,Enfamil Gentle Care Step 1 800 gram (0-6 Bulan),[],4650,ibu-bayi/susu-bayi-anak/susu-bayi-di-bawah-1-tahun,56,Ibu & Bayi,1723,,0,/category/ibu-bayi/susu-bayi-anak/kapalperang/enfamil-gentle-care-step-1-800-gram-0-6-bulan,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/8/23/29e9bd63-4ea1-41cf-ae96-fd73c1370082.jpg,"[{'position': 'best_seller', 'title': 'Terlaris', 'type': '#e1aa1d', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'price', 'title': 'Cashback 21,8rb', 'type': 'lightGreen', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'integrity', 'title': '5rb+ terjual', 'type': 'textDarkGrey', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'fulfillment', 'title': 'Dilayani Tokopedia', 'type': 'textDarkGrey', 'url': 'https://images.tokopedia.net/img/restriction-engine/bebas-ongkir/DilayaniTokopedia_Icon.png', '__typename': 'AceSearchUnifyLabelGroup'}]",,Rp545.000,,5,5.0,https://www.tokopedia.com/kapalperang/enfamil-gentle-care-step-1-800-gram-0-6-bulan?extParam=ivf%3Dfalse%26whid%3D14937698,False,0,14937698,AceSearchUnifyProduct,,,,,AceSearchUnifyAds,1475764,Kapal Perang,https://www.tokopedia.com/kapalperang,Medan,False,True,AceSearchUnifyShop,2023-12-17 21:25:04
2708074101,Pediasure Triplesure Cokelat 900 gr,"[{'title': 'Official Store', 'imageUrl': 'https://images.tokopedia.net/img/official_store_badge.png', 'show': True, '__typename': 'AceSearchUnifyBadge'}]",4651,ibu-bayi/susu-bayi-anak/susu-anak,56,Ibu & Bayi,813,,0,/category/ibu-bayi/susu-bayi-anak/istanasusu/pediasure-triplesure-cokelat-900-gr,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2022/1/11/bf4873b1-4935-44b8-b450-0ef667aeaf43.jpg,"[{'position': 'price', 'title': 'Cashback 3,5rb', 'type': 'lightGreen', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'integrity', 'title': '2rb+ terjual', 'type': 'textDarkGrey', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'campaign', 'title': 'Toserba', 'type': '', 'url': 'https://images.tokopedia.net/img/phOWBv/2023/11/28/a8778146-2c44-48e6-8b1f-b5bb222fb84e.png', '__typename': 'AceSearchUnifyLabelGroup'}]",,Rp353.829,,5,5.0,https://www.tokopedia.com/istanasusu/pediasure-triplesure-cokelat-900-gr?extParam=ivf%3Dfalse,False,0,4075308,AceSearchUnifyProduct,,,,,AceSearchUnifyAds,2124815,Istana Susu,https://www.tokopedia.com/istanasusu,Kab. Bekasi,True,True,AceSearchUnifyShop,2023-12-17 21:25:04
690736701,YUMMY BITES BABY RICE CRACKERS 50 GR,"[{'title': 'Power Merchant Pro Badge', 'imageUrl': 'https://images.tokopedia.net/img/goldmerchant/pm_activation/badge/PM%20Pro%20Small.png', 'show': True, '__typename': 'AceSearchUnifyBadge'}]",2011,ibu-bayi/susu-bayi-anak/biskuit-snack-bayi,56,Ibu & Bayi,2177,,2,/category/ibu-bayi/susu-bayi-anak/mybaby-tools/yummy-bites-baby-rice-crackers-50-gr-strawberry,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/3/2d3a4051-e064-46b4-b041-c3a857ffc258.jpg,"[{'position': 'integrity', 'title': '10rb+ terjual', 'type': 'textDarkGrey', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'costperunit', 'title': 'Rp56.000/100 g', 'type': 'textDarkGrey', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}]",Rp28.500,Rp28.000,,5,5.0,https://www.tokopedia.com/mybaby-tools/yummy-bites-baby-rice-crackers-50-gr-strawberry?extParam=ivf%3Dfalse,False,0,6511561,AceSearchUnifyProduct,,,,,AceSearchUnifyAds,6253929,MyBabyTools,https://www.tokopedia.com/mybaby-tools,Jakarta Selatan,False,True,AceSearchUnifyShop,2023-12-17 21:25:04
2422988361,Chilmil Gold 200g,"[{'title': 'Official Store', 'imageUrl': 'https://images.tokopedia.net/img/official_store_badge.png', 'show': True, '__typename': 'AceSearchUnifyBadge'}]",4650,ibu-bayi/susu-bayi-anak/susu-bayi-di-bawah-1-tahun,56,Ibu & Bayi,189,,0,/category/ibu-bayi/susu-bayi-anak/morinagaofficial/chilmil-gold-200g,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/16/7e766dc0-de26-4ec2-a7b8-70285fcf2f91.png,"[{'position': 'best_seller', 'title': 'Terlaris', 'type': '#e1aa1d', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'price', 'title': 'Cashback 2,9rb', 'type': 'lightGreen', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'integrity', 'title': '750+ terjual', 'type': 'textDarkGrey', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'campaign', 'title': 'Toserba', 'type': '', 'url': 'https://images.tokopedia.net/img/phOWBv/2023/11/28/a8778146-2c44-48e6-8b1f-b5bb222fb84e.png', '__typename': 'AceSearchUnifyLabelGroup'}]",,Rp49.400,,5,5.0,https://www.tokopedia.com/morinagaofficial/chilmil-gold-200g?extParam=ivf%3Dfalse,False,0,4254005,AceSearchUnifyProduct,,,,,AceSearchUnifyAds,3950239,Morinaga Official Shop,https://www.tokopedia.com/morinagaofficial,Tangerang Selatan,True,True,AceSearchUnifyShop,2023-12-17 21:25:04
7200300652,VIDORAN XMART 1+3+ VANILA MADU IMUN UP SUSU FORMULA ALL VARIAN 950GR,"[{'title': 'Power Merchant Pro Badge', 'imageUrl': 'https://images.tokopedia.net/img/goldmerchant/pm_activation/badge/PM%20Pro%20Small.png', 'show': True, '__typename': 'AceSearchUnifyBadge'}]",4651,ibu-bayi/susu-bayi-anak/susu-anak,56,Ibu & Bayi,283,,5,/category/ibu-bayi/susu-bayi-anak/nmbabyshop/vidoran-xmart-1-3-vanila-madu-imun-up-susu-formula-all-varian-950gr-vidoran-3-madu,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/12/11/9d84c151-488c-4e2b-9276-90b16d0d4d83.jpg,"[{'position': 'integrity', 'title': '750+ terjual', 'type': 'textDarkGrey', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}]",Rp67.000,Rp63.900,,5,5.0,https://www.tokopedia.com/nmbabyshop/vidoran-xmart-1-3-vanila-madu-imun-up-susu-formula-all-varian-950gr-vidoran-3-madu?extParam=ivf%3Dfalse,False,0,123164,AceSearchUnifyProduct,,,,,AceSearchUnifyAds,3650616,NMbabyshop,https://www.tokopedia.com/nmbabyshop,Jakarta Barat,False,True,AceSearchUnifyShop,2023-12-17 21:25:04
370755408,Morinaga BMT PLATINUM Moricare 400gr - Susu Formula Bayi,"[{'title': 'Official Store', 'imageUrl': 'https://images.tokopedia.net/img/official_store_badge.png', 'show': True, '__typename': 'AceSearchUnifyBadge'}]",4650,ibu-bayi/susu-bayi-anak/susu-bayi-di-bawah-1-tahun,56,Ibu & Bayi,1336,,0,/category/ibu-bayi/susu-bayi-anak/morinagaofficial/morinaga-bmt-platinum-moricare-400gr-susu-formula-bayi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/16/cabe0b03-6d97-4caf-a581-bffddc2992bf.png,"[{'position': 'best_seller', 'title': 'Terlaris', 'type': '#e1aa1d', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'price', 'title': 'Cashback 10,2rb', 'type': 'lightGreen', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'integrity', 'title': '3rb+ terjual', 'type': 'textDarkGrey', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'campaign', 'title': 'Inspirasi Belanja', 'type': '', 'url': 'https://images.tokopedia.net/img/phOWBv/2023/10/24/226dc83d-448e-46a8-8c89-25056b6c30ca.png', '__typename': 'AceSearchUnifyLabelGroup'}]",,Rp171.600,,5,4.9,https://www.tokopedia.com/morinagaofficial/morinaga-bmt-platinum-moricare-400gr-susu-formula-bayi?extParam=ivf%3Dfalse%26whid%3D4254005,False,0,4254005,AceSearchUnifyProduct,,,,,AceSearchUnifyAds,3950239,Morinaga Official Shop,https://www.tokopedia.com/morinagaofficial,Tangerang Selatan,True,True,AceSearchUnifyShop,2023-12-17 21:25:04
5210330670,Pureeland Kecap MPASI Organik/ Mpasi Bayi Organik / Bumbu MPASI,"[{'title': 'Official Store', 'imageUrl': 'https://images.tokopedia.net/img/official_store_badge.png', 'show': True, '__typename': 'AceSearchUnifyBadge'}]",395,ibu-bayi/susu-bayi-anak/sereal-bubur-bayi,56,Ibu & Bayi,553,,0,/category/ibu-bayi/susu-bayi-anak/pureeland/pureeland-kecap-mpasi-organik-mpasi-bayi-organik-bumbu-mpasi-asin-kedelai,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/2/10/099e9764-b606-4532-a223-a31c8ec96b02.jpg,"[{'position': 'integrity', 'title': '4rb+ terjual', 'type': 'textDarkGrey', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}]",,Rp33.000,,5,4.9,https://www.tokopedia.com/pureeland/pureeland-kecap-mpasi-organik-mpasi-bayi-organik-bumbu-mpasi-asin-kedelai?extParam=ivf%3Dfalse,False,0,1527360,AceSearchUnifyProduct,,,,,AceSearchUnifyAds,1906751,Pureeland,https://www.tokopedia.com/pureeland,Jakarta Barat,True,True,AceSearchUnifyShop,2023-12-17 21:25:04
6272146271,Plum & Blum Beras MPASI BB Booster | PlumandBlum Bubur MPASI Bayi,"[{'title': 'Power Merchant Pro Badge', 'imageUrl': 'https://images.tokopedia.net/img/goldmerchant/pm_activation/badge/PM%20Pro%20Small.png', 'show': True, '__typename': 'AceSearchUnifyBadge'}]",395,ibu-bayi/susu-bayi-anak/sereal-bubur-bayi,56,Ibu & Bayi,290,,8,/category/ibu-bayi/susu-bayi-anak/tokosusumomnkids/plum-blum-beras-mpasi-bb-booster-plumandblum-bubur-mpasi-bayi-beras-jepang,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/1/27/aa52652b-78f4-4cf0-a9dd-a566fc101435.png,"[{'position': 'integrity', 'title': '2rb+ terjual', 'type': 'textDarkGrey', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}]",Rp23.000,Rp21.160,,5,5.0,https://www.tokopedia.com/tokosusumomnkids/plum-blum-beras-mpasi-bb-booster-plumandblum-bubur-mpasi-bayi-beras-jepang?extParam=ivf%3Dfalse,False,0,111599,AceSearchUnifyProduct,,,,,AceSearchUnifyAds,2602194,Toko Susu Mom n Kids,https://www.tokopedia.com/tokosusumomnkids,Jakarta Utara,False,True,AceSearchUnifyShop,2023-12-17 21:25:04
